"axe";"indicateur";"metrique";"valeur_actuelle";"unite";"source";"statut_matrice";"preuve_calculee";"commentaire"
"1. Veille metier et technologique";"Ma veille selectionne, evalue et justifie les choix des solutions techniques.";"Outils compares";"5";"outils";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";"Aikido, Great Expectations, Ruff/nbQA, controles Pandas, ydata-profiling."
"1. Veille metier et technologique";"Ma veille selectionne, evalue et justifie les choix des solutions techniques.";"Criteres de comparaison";"7";"criteres";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";"Qualite, robustesse, temps, reproductibilite, securite, conformite, sobriete."
"1. Veille metier et technologique";"Ma veille selectionne, evalue et justifie les choix des solutions techniques.";"Decision argumentee";"a_completer";"oui/non";"preuve documentaire a completer";"A faire";"non";""
"1. Veille metier et technologique";"Ma veille soutient une demarche d'optimisation et d'amelioration continue.";"Pistes d'amelioration identifiees";"4";"pistes";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"1. Veille metier et technologique";"Ma veille soutient une demarche d'optimisation et d'amelioration continue.";"Pistes retenues";"a_completer";"pistes";"preuve documentaire a completer";"A faire";"non";""
"1. Veille metier et technologique";"Les informations sont fiables et sourcees.";"Sources officielles citees";"a_completer";"sources";"preuve documentaire a completer";"A faire";"non";""
"1. Veille metier et technologique";"Les informations sont coherentes avec les principes de developpement durable.";"Dependances Python uniques";"40";"dependances";"requirements.txt";"A faire";"oui";""
"1. Veille metier et technologique";"Les informations sont coherentes avec les principes de developpement durable.";"Temps d'execution avant/apres";"a_completer";"secondes";"preuve d'execution a completer";"A faire";"non";""
"1. Veille metier et technologique";"Le systeme de veille contient au moins un element d'automatisation.";"Alertes configurees";"a_completer";"alertes";"preuve documentaire a completer";"A faire";"non";""
"1. Veille metier et technologique";"Au moins un outil/methode selectionne est pertinent et adapte aux besoins des utilisateurs.";"Besoins utilisateur couverts";"1";"besoin";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"1. Veille metier et technologique";"Les besoins en formation des publics non techniques sont identifies, y compris les collaborateurs en situation de handicap.";"Modules de formation formalises";"a_completer";"modules";"preuve documentaire a completer";"A faire";"non";""
"1. Veille metier et technologique";"Les impacts des nouveaux outils/methodes issus de la veille sont identifies, evalues, experimentes et documentes.";"Essais IA documentes";"a_completer";"essais";"journal de prompts a completer";"A faire";"non";""
"2. Identification du besoin metier";"La prise en compte d'un environnement complexe et changeant est demontree.";"Sources de donnees disponibles";"3";"sources";"data/";"A faire";"oui";""
"2. Identification du besoin metier";"La prise en compte d'un environnement complexe et changeant est demontree.";"Produits ERP";"825";"produits";"data/erp.xlsx";"A faire";"oui";""
"2. Identification du besoin metier";"La prise en compte d'un environnement complexe et changeant est demontree.";"Articles Web";"1513";"lignes";"data/web.xlsx";"A faire";"oui";""
"2. Identification du besoin metier";"La prise en compte d'un environnement complexe et changeant est demontree.";"Lignes liaison";"825";"lignes";"data/liaison.xlsx";"A faire";"oui";""
"2. Identification du besoin metier";"La prise en compte d'un environnement complexe et changeant est demontree.";"Contraintes listees";"5";"contraintes";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"2. Identification du besoin metier";"Le besoin metier est reformule en tenant compte des contraintes internes/externes et des specificites fonctionnelles.";"Articles matches";"734.0";"articles";"output/phase1_audit_report.txt";"A faire";"oui";""
"2. Identification du besoin metier";"Le besoin metier est reformule en tenant compte des contraintes internes/externes et des specificites fonctionnelles.";"Articles sans correspondance";"91.0";"articles";"output/phase1_audit_report.txt";"A faire";"oui";""
"2. Identification du besoin metier";"Les elements prioritaires du projet sont identifies.";"Priorites projet listees";"6";"priorites";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"2. Identification du besoin metier";"Les elements prioritaires du projet sont identifies.";"Prix de vente negatifs";"3.0";"anomalies";"output/phase1_audit_report.txt";"A faire";"oui";""
"2. Identification du besoin metier";"Les elements prioritaires du projet sont identifies.";"Stocks negatifs";"2.0";"anomalies";"output/phase1_audit_report.txt";"A faire";"oui";""
"2. Identification du besoin metier";"Les elements prioritaires du projet sont identifies.";"Marges negatives";"4.0";"anomalies";"output/phase1_audit_report.txt";"A faire";"oui";""
"2. Identification du besoin metier";"L'analyse du besoin clarifie les objectifs et les enjeux et permet de cadrer le projet.";"Produits analyses";"825.0";"produits";"output/phase2_rapport.md";"A faire";"oui";""
"2. Identification du besoin metier";"L'analyse du besoin clarifie les objectifs et les enjeux et permet de cadrer le projet.";"Colonnes analysees";"41.0";"colonnes";"output/phase2_rapport.md";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le cahier des charges decrit l'etat actuel, les specificites fonctionnelles, les ressources et le budget.";"Colonnes ERP";"6";"colonnes";"data/erp.xlsx";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le cahier des charges decrit l'etat actuel, les specificites fonctionnelles, les ressources et le budget.";"Colonnes Web";"29";"colonnes";"data/web.xlsx";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le cahier des charges decrit l'etat actuel, les specificites fonctionnelles, les ressources et le budget.";"Colonnes Liaison";"2";"colonnes";"data/liaison.xlsx";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le cahier des charges decrit l'etat actuel, les specificites fonctionnelles, les ressources et le budget.";"Delai cible";"4";"jours";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le cahier des charges decrit le perimetre : jalons, livrables, planning.";"Livrables attendus";"6";"livrables";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le document est clair et synthetique.";"Tableaux de suivi dans la matrice";"6";"tableaux";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"3. Cahier des charges fonctionnel";"Le document respecte les bonnes pratiques bureautiques de redaction.";"Annexes formalisees";"a_completer";"annexes";"preuve documentaire a completer";"A faire";"non";""
"4. Organisation et pilotage du projet data";"Le projet est decoupe en lots coherents.";"Lots projet listes";"8";"lots";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"4. Organisation et pilotage du projet data";"Un backlog de taches est formalise.";"Actions immediates listees";"5";"taches";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"4. Organisation et pilotage du projet data";"Un backlog de taches est formalise.";"Taux d'avancement matrice";"0";"pourcentage";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";"Tous les statuts de la matrice sont encore a faire."
"4. Organisation et pilotage du projet data";"Le planning est realiste et suit des jalons.";"Duree planning cible";"4";"jours";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"4. Organisation et pilotage du projet data";"Les risques projet sont identifies et suivis.";"Risques listes";"6";"risques";"05_matrice_indicateurs_P13_partie_1.md";"A faire";"oui";""
"4. Organisation et pilotage du projet data";"Les risques projet sont identifies et suivis.";"Workflows de correction disponibles";"5";"documents";"output/";"A faire";"oui";""
"5. Documentation, IA et reproductibilite";"Les essais IA sont traces.";"Prompts traces";"a_completer";"prompts";"journal de prompts a completer";"A faire";"non";""
"5. Documentation, IA et reproductibilite";"Les choix techniques sont justifies.";"Scripts Python disponibles";"16";"scripts";"racine projet";"A faire";"oui";""
"5. Documentation, IA et reproductibilite";"Les choix techniques sont justifies.";"Visualisations HTML generees";"8";"visualisations";"output/";"A faire";"oui";""
"5. Documentation, IA et reproductibilite";"Les limites et biais sont documentes.";"Limites documentees";"a_completer";"limites";"preuve documentaire a completer";"A faire";"non";""
"5. Documentation, IA et reproductibilite";"La reproductibilite est prise en compte.";"Fichier requirements present";"1";"oui/non";"requirements.txt";"A faire";"oui";""
"5. Documentation, IA et reproductibilite";"La reproductibilite est prise en compte.";"Notebook template present";"1";"oui/non";"notebooks/";"A faire";"oui";""
"5. Documentation, IA et reproductibilite";"La reproductibilite est prise en compte.";"Fichier enrichi phase 2";"825";"lignes";"output/phase2_data_enriched.xlsx";"A faire";"oui";""
